version,1.7.0
info,balls_per_over,6
info,team,Kathmandu Gurkhas
info,team,Janakpur Bolts
info,gender,male
info,season,2024/25
info,date,2024/12/12
info,event,Nepal Premier League
info,match_number,21
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Kathmandu Gurkhas
info,toss_decision,bat
info,player_of_match,LN Rajbanshi
info,umpire,HR Giri
info,umpire,Sanjay Gurung
info,reserve_umpire,RC Pandey
info,tv_umpire,BB Pradhan
info,match_referee,Mohammed Shafique
info,winner,Janakpur Bolts
info,winner_wickets,5
info,player,Kathmandu Gurkhas,SS Eskinazi
info,player,Kathmandu Gurkhas,M Levitt
info,player,Kathmandu Gurkhas,B Sharki
info,player,Kathmandu Gurkhas,MG Erasmus
info,player,Kathmandu Gurkhas,S Maharjan
info,player,Kathmandu Gurkhas,Rashid Khan
info,player,Kathmandu Gurkhas,DA Douthwaite
info,player,Kathmandu Gurkhas,P Shrestha
info,player,Kathmandu Gurkhas,Karan KC
info,player,Kathmandu Gurkhas,Shahab Alam
info,player,Kathmandu Gurkhas,D Kandel
info,player,Janakpur Bolts,BKEL Milantha
info,player,Janakpur Bolts,Aasif Sheikh
info,player,Janakpur Bolts,AK Sah
info,player,Janakpur Bolts,H Thaker
info,player,Janakpur Bolts,S Kansakar
info,player,Janakpur Bolts,JDS Neesham
info,player,Janakpur Bolts,Mohammad Mohsin
info,player,Janakpur Bolts,A Yadav
info,player,Janakpur Bolts,S Malla
info,player,Janakpur Bolts,LN Rajbanshi
info,player,Janakpur Bolts,K Mahato
info,registry,people,A Yadav,b564b5e6
info,registry,people,AK Sah,5b1d6583
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,B Sharki,fbdc8309
info,registry,people,BB Pradhan,8603d942
info,registry,people,BKEL Milantha,dcabd6bc
info,registry,people,D Kandel,2e80c353
info,registry,people,DA Douthwaite,03df7a25
info,registry,people,H Thaker,c01d7726
info,registry,people,HR Giri,fea1e74f
info,registry,people,JDS Neesham,9219eff0
info,registry,people,K Mahato,d913103d
info,registry,people,Karan KC,f53b3e1d
info,registry,people,LN Rajbanshi,6ad2d5f7
info,registry,people,M Levitt,6a71ba3a
info,registry,people,MG Erasmus,95a5e066
info,registry,people,Mohammad Mohsin,79f8472d
info,registry,people,Mohammed Shafique,a9ca87b8
info,registry,people,P Shrestha,534c4b03
info,registry,people,R Rijal,ee3ad356
info,registry,people,RC Pandey,1b807976
info,registry,people,Rashid Khan,69cccff3
info,registry,people,S Kansakar,fd0e5582
info,registry,people,S Maharjan,f0b3e7ee
info,registry,people,S Malla,1daa8927
info,registry,people,SS Eskinazi,75cbed9b
info,registry,people,Sanjay Gurung,0ef792dc
info,registry,people,Shahab Alam,cdd9fa95
ball,1,0.1,Kathmandu Gurkhas,SS Eskinazi,M Levitt,K Mahato,0,0,,,,,,"",""
ball,1,0.2,Kathmandu Gurkhas,SS Eskinazi,M Levitt,K Mahato,0,0,,,,,,"",""
ball,1,0.3,Kathmandu Gurkhas,SS Eskinazi,M Levitt,K Mahato,0,4,,,4,,,"",""
ball,1,0.4,Kathmandu Gurkhas,SS Eskinazi,M Levitt,K Mahato,0,1,,,,1,,"",""
ball,1,0.5,Kathmandu Gurkhas,M Levitt,SS Eskinazi,K Mahato,0,0,,,,,,"",""
ball,1,0.6,Kathmandu Gurkhas,M Levitt,SS Eskinazi,K Mahato,0,0,,,,,,"",""
ball,1,1.1,Kathmandu Gurkhas,SS Eskinazi,M Levitt,LN Rajbanshi,0,0,,,,,,"",""
ball,1,1.2,Kathmandu Gurkhas,SS Eskinazi,M Levitt,LN Rajbanshi,0,0,,,,,,"",""
ball,1,1.3,Kathmandu Gurkhas,SS Eskinazi,M Levitt,LN Rajbanshi,0,0,,,,,,"",""
ball,1,1.4,Kathmandu Gurkhas,SS Eskinazi,M Levitt,LN Rajbanshi,5,0,,,,,,"",""
ball,1,1.5,Kathmandu Gurkhas,M Levitt,SS Eskinazi,LN Rajbanshi,0,0,,,,,,"",""
ball,1,1.6,Kathmandu Gurkhas,M Levitt,SS Eskinazi,LN Rajbanshi,2,0,,,,,,"",""
ball,1,2.1,Kathmandu Gurkhas,SS Eskinazi,M Levitt,K Mahato,1,0,,,,,,"",""
ball,1,2.2,Kathmandu Gurkhas,M Levitt,SS Eskinazi,K Mahato,6,0,,,,,,"",""
ball,1,2.3,Kathmandu Gurkhas,M Levitt,SS Eskinazi,K Mahato,0,0,,,,,,caught,M Levitt
ball,1,2.4,Kathmandu Gurkhas,B Sharki,SS Eskinazi,K Mahato,0,0,,,,,,"",""
ball,1,2.5,Kathmandu Gurkhas,B Sharki,SS Eskinazi,K Mahato,0,0,,,,,,"",""
ball,1,2.6,Kathmandu Gurkhas,B Sharki,SS Eskinazi,K Mahato,0,0,,,,,,"",""
ball,1,3.1,Kathmandu Gurkhas,SS Eskinazi,B Sharki,LN Rajbanshi,1,0,,,,,,"",""
ball,1,3.2,Kathmandu Gurkhas,B Sharki,SS Eskinazi,LN Rajbanshi,0,0,,,,,,"",""
ball,1,3.3,Kathmandu Gurkhas,B Sharki,SS Eskinazi,LN Rajbanshi,0,0,,,,,,"",""
ball,1,3.4,Kathmandu Gurkhas,B Sharki,SS Eskinazi,LN Rajbanshi,0,0,,,,,,"",""
ball,1,3.5,Kathmandu Gurkhas,B Sharki,SS Eskinazi,LN Rajbanshi,0,0,,,,,,"",""
ball,1,3.6,Kathmandu Gurkhas,B Sharki,SS Eskinazi,LN Rajbanshi,0,0,,,,,,"",""
ball,1,4.1,Kathmandu Gurkhas,SS Eskinazi,B Sharki,JDS Neesham,0,1,1,,,,,"",""
ball,1,4.2,Kathmandu Gurkhas,SS Eskinazi,B Sharki,JDS Neesham,0,0,,,,,,"",""
ball,1,4.3,Kathmandu Gurkhas,SS Eskinazi,B Sharki,JDS Neesham,4,0,,,,,,"",""
ball,1,4.4,Kathmandu Gurkhas,SS Eskinazi,B Sharki,JDS Neesham,0,0,,,,,,"",""
ball,1,4.5,Kathmandu Gurkhas,SS Eskinazi,B Sharki,JDS Neesham,0,0,,,,,,"",""
ball,1,4.6,Kathmandu Gurkhas,SS Eskinazi,B Sharki,JDS Neesham,4,0,,,,,,"",""
ball,1,4.7,Kathmandu Gurkhas,SS Eskinazi,B Sharki,JDS Neesham,1,0,,,,,,"",""
ball,1,5.1,Kathmandu Gurkhas,SS Eskinazi,B Sharki,Mohammad Mohsin,0,0,,,,,,"",""
ball,1,5.2,Kathmandu Gurkhas,SS Eskinazi,B Sharki,Mohammad Mohsin,1,0,,,,,,"",""
ball,1,5.3,Kathmandu Gurkhas,B Sharki,SS Eskinazi,Mohammad Mohsin,4,0,,,,,,"",""
ball,1,5.4,Kathmandu Gurkhas,B Sharki,SS Eskinazi,Mohammad Mohsin,0,0,,,,,,"",""
ball,1,5.5,Kathmandu Gurkhas,B Sharki,SS Eskinazi,Mohammad Mohsin,0,0,,,,,,caught,B Sharki
ball,1,5.6,Kathmandu Gurkhas,MG Erasmus,SS Eskinazi,Mohammad Mohsin,0,0,,,,,,"",""
ball,1,6.1,Kathmandu Gurkhas,SS Eskinazi,MG Erasmus,LN Rajbanshi,0,0,,,,,,lbw,SS Eskinazi
ball,1,6.2,Kathmandu Gurkhas,S Maharjan,MG Erasmus,LN Rajbanshi,0,0,,,,,,"",""
ball,1,6.3,Kathmandu Gurkhas,S Maharjan,MG Erasmus,LN Rajbanshi,0,0,,,,,,"",""
ball,1,6.4,Kathmandu Gurkhas,S Maharjan,MG Erasmus,LN Rajbanshi,0,0,,,,,,caught,S Maharjan
ball,1,6.5,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,LN Rajbanshi,0,0,,,,,,"",""
ball,1,6.6,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,LN Rajbanshi,0,0,,,,,,"",""
ball,1,7.1,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,Mohammad Mohsin,1,0,,,,,,"",""
ball,1,7.2,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,Mohammad Mohsin,0,0,,,,,,"",""
ball,1,7.3,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,Mohammad Mohsin,1,0,,,,,,"",""
ball,1,7.4,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,Mohammad Mohsin,1,0,,,,,,"",""
ball,1,7.5,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,Mohammad Mohsin,1,0,,,,,,"",""
ball,1,7.6,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,Mohammad Mohsin,0,0,,,,,,"",""
ball,1,8.1,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,A Yadav,0,0,,,,,,"",""
ball,1,8.2,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,A Yadav,0,0,,,,,,"",""
ball,1,8.3,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,A Yadav,1,0,,,,,,"",""
ball,1,8.4,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,A Yadav,0,0,,,,,,"",""
ball,1,8.5,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,A Yadav,4,0,,,,,,"",""
ball,1,8.6,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,A Yadav,4,0,,,,,,"",""
ball,1,9.1,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,Mohammad Mohsin,1,0,,,,,,"",""
ball,1,9.2,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,Mohammad Mohsin,0,0,,,,,,"",""
ball,1,9.3,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,Mohammad Mohsin,3,0,,,,,,"",""
ball,1,9.4,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,Mohammad Mohsin,0,0,,,,,,"",""
ball,1,9.5,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,Mohammad Mohsin,0,0,,,,,,"",""
ball,1,9.6,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,Mohammad Mohsin,2,0,,,,,,"",""
ball,1,10.1,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,S Malla,0,0,,,,,,"",""
ball,1,10.2,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,S Malla,1,0,,,,,,"",""
ball,1,10.3,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,S Malla,1,0,,,,,,"",""
ball,1,10.4,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,S Malla,1,0,,,,,,"",""
ball,1,10.5,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,S Malla,0,0,,,,,,"",""
ball,1,10.6,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,S Malla,0,0,,,,,,"",""
ball,1,11.1,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,A Yadav,0,5,5,,,,,"",""
ball,1,11.2,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,A Yadav,0,0,,,,,,"",""
ball,1,11.3,Kathmandu Gurkhas,MG Erasmus,Rashid Khan,A Yadav,1,0,,,,,,"",""
ball,1,11.4,Kathmandu Gurkhas,Rashid Khan,MG Erasmus,A Yadav,0,0,,,,,,caught,Rashid Khan
ball,1,11.5,Kathmandu Gurkhas,DA Douthwaite,MG Erasmus,A Yadav,0,0,,,,,,"",""
ball,1,11.6,Kathmandu Gurkhas,DA Douthwaite,MG Erasmus,A Yadav,0,0,,,,,,"",""
