match_id,date,team1,team2,toss_winner,toss_decision,winner,winner_wickets,player_of_match,venue,city,innings1_total_runs,innings2_total_runs,innings3_total_runs,innings4_total_runs,innings1_powerplay_runs,innings2_powerplay_runs,innings3_powerplay_runs,innings4_powerplay_runs,innings1_death_over_runs,innings2_death_over_runs,innings3_death_over_runs,innings4_death_over_runs,innings1_total_wickets,innings2_total_wickets,innings3_total_wickets,innings4_total_wickets,innings1_boundary_count,innings2_boundary_count,innings3_boundary_count,innings4_boundary_count,innings1_dot_ball_count,innings2_dot_ball_count,innings3_dot_ball_count,innings4_dot_ball_count
1462596,2024/11/30,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,Janakpur Bolts,8.0,BKEL Milantha,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,127,131,0,0,38,52,0,0,24,0,0,0,10,2,0,0,13,14,0,0,48,38,0,0
1462640,2024/12/02,Kathmandu Gurkhas,Chitwan Rhinos,Chitwan Rhinos,field,Chitwan Rhinos,5.0,Sohail Tanvir,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,111,114,0,0,39,46,0,0,20,7,0,0,9,5,0,0,11,12,0,0,54,48,0,0
1462641,2024/12/02,Karnali Yaks,Janakpur Bolts,Karnali Yaks,bat,Janakpur Bolts,8.0,AK Sah,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,141,142,0,0,31,56,0,0,57,0,0,0,7,2,0,0,16,20,0,0,54,34,0,0
1462642,2024/12/03,Sudur Paschim Royals,Biratnagar Kings,Biratnagar Kings,field,Sudur Paschim Royals,,DS Airee,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,182,92,0,0,43,21,0,0,53,0,0,0,7,10,0,0,24,9,0,0,47,50,0,0
1462643,2024/12/03,Chitwan Rhinos,Pokhara Avengers,Pokhara Avengers,field,Chitwan Rhinos,,R Dhakal,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,161,74,0,0,50,16,0,0,27,0,0,0,7,10,0,0,17,9,0,0,47,51,0,0
1462644,2024/12/04,Karnali Yaks,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Kathmandu Gurkhas,3.0,S Maharjan,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,149,153,0,0,39,37,0,0,51,53,0,0,5,7,0,0,18,18,0,0,47,45,0,0
1462645,2024/12/04,Lumbini Lions,Biratnagar Kings,Biratnagar Kings,field,Biratnagar Kings,2.0,Lokesh Bam,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,191,193,0,0,56,54,0,0,37,45,0,0,7,8,0,0,21,24,0,0,43,44,0,0
1462646,2024/12/05,Pokhara Avengers,Janakpur Bolts,Janakpur Bolts,field,Janakpur Bolts,7.0,JDS Neesham,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,138,143,0,0,35,62,0,0,40,14,0,0,7,3,0,0,15,17,0,0,56,41,0,0
1462647,2024/12/05,Sudur Paschim Royals,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Sudur Paschim Royals,,N Saud,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,167,94,0,0,48,38,0,0,39,0,0,0,6,10,0,0,17,14,0,0,39,51,0,0
1462648,2024/12/06,Chitwan Rhinos,Karnali Yaks,Karnali Yaks,field,Karnali Yaks,6.0,BP Sharma,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,130,132,0,0,28,32,0,0,33,25,0,0,7,4,0,0,16,11,0,0,60,43,0,0
